Date,Nifty Auto,Nifty FMCG,Nifty IT,Nifty Metal,Nifty Pharma,Nifty Bank,Nifty 50
2023-10-11,16175.7998046875,52254.44921875,32548.05078125,6812.14990234375,15176.599609375,44516.8984375,19811.349609375
2023-10-12,16301.7001953125,52363.94921875,32003.650390625,6863.0498046875,15186.2001953125,44599.19921875,19794.0
2023-10-13,16444.94921875,52520.69921875,31807.94921875,6820.7998046875,15235.0498046875,44287.94921875,19751.05078125
2023-10-16,16519.349609375,52401.94921875,31750.400390625,6882.7998046875,15164.75,44225.8984375,19731.75
2023-10-17,16522.75,52665.30078125,31794.900390625,6902.0,15211.9501953125,44409.5,19811.5
2023-10-18,16535.400390625,52442.05078125,31606.650390625,6863.39990234375,15331.2998046875,43888.69921875,19671.099609375
2023-10-19,16618.0,52516.3515625,31540.05078125,6803.2998046875,15273.400390625,43754.5,19624.69921875
2023-10-20,16497.849609375,51823.3515625,31469.349609375,6712.75,15107.150390625,43723.05078125,19542.650390625
2023-10-23,16277.849609375,51421.6484375,30848.400390625,6494.0,14911.650390625,43151.19921875,19281.75
2023-10-25,16210.4501953125,51216.8515625,30530.5,6503.64990234375,14800.150390625,42832.0,19122.150390625
2023-10-26,15953.0498046875,50941.1015625,30225.650390625,6398.0498046875,14648.5498046875,42280.1484375,18857.25
2023-10-27,16169.150390625,51395.0,30599.69921875,6453.10009765625,14738.5,42782.0,19047.25
2023-10-30,16023.4501953125,51180.69921875,30641.0,6467.9501953125,14775.599609375,43039.1484375,19140.900390625
2023-10-31,15916.2001953125,51262.6015625,30582.25,6452.4501953125,14683.650390625,42845.94921875,19079.599609375
2023-11-01,15835.650390625,51087.80078125,30344.849609375,6359.89990234375,14735.25,42700.94921875,18989.150390625
2023-11-02,15948.650390625,51589.0,30582.75,6448.9501953125,14834.4501953125,43017.19921875,19133.25
2023-11-03,16045.400390625,51901.5,30779.94921875,6479.14990234375,14882.349609375,43318.25,19230.599609375
2023-11-06,16172.75,52075.69921875,30972.94921875,6567.10009765625,15072.2998046875,43619.3984375,19411.75
2023-11-07,16143.75,52130.0,30981.599609375,6576.85009765625,15271.75,43737.8984375,19406.69921875
2023-11-08,16220.7998046875,52455.19921875,30917.19921875,6626.2998046875,15497.25,43658.6484375,19443.5
2023-11-09,16355.2998046875,51983.0,30717.69921875,6599.64990234375,15491.849609375,43683.6015625,19395.30078125
2023-11-10,16286.7001953125,52076.05078125,30639.05078125,6646.0498046875,15516.5,43820.1015625,19425.349609375
2023-11-13,16365.2998046875,52025.6015625,30635.849609375,6714.10009765625,15497.150390625,43891.25,19443.55078125
2023-11-15,16648.5,52383.44921875,31429.349609375,6792.39990234375,15516.25,44201.69921875,19675.44921875
2023-11-16,16788.900390625,52305.75,32273.349609375,6792.39990234375,15651.099609375,44161.55078125,19765.19921875
2023-11-17,16905.5,52756.1015625,32191.349609375,6803.89990234375,15804.5,43583.94921875,19731.80078125
2023-11-20,16777.30078125,52550.1015625,32383.19921875,6771.5498046875,15806.75,43584.94921875,19694.0
2023-11-21,16860.099609375,52466.19921875,32325.69921875,6854.2001953125,15968.900390625,43689.1484375,19783.400390625
2023-11-22,16972.19921875,52691.19921875,32564.400390625,6792.64990234375,16069.7998046875,43449.6015625,19811.849609375
2023-11-23,17033.55078125,52823.05078125,32370.650390625,6828.35009765625,15817.4501953125,43577.5,19802.0
2023-11-24,17040.349609375,52576.8984375,32055.150390625,6874.25,15954.5,43769.1015625,19794.69921875
2023-11-28,17202.75,52489.5,32118.5,7001.64990234375,15900.2998046875,43880.94921875,19889.69921875
2023-11-29,17482.44921875,52725.44921875,32608.400390625,7016.39990234375,15990.099609375,44566.44921875,20096.599609375
2023-11-30,17551.849609375,53013.80078125,32582.19921875,7017.4501953125,16238.900390625,44481.75,20133.150390625
2023-12-01,17489.05078125,53851.44921875,32598.69921875,7087.0,16257.0498046875,44814.19921875,20267.900390625
2023-12-04,17687.25,54237.69921875,32665.55078125,7202.60009765625,16228.400390625,46431.3984375,20686.80078125
2023-12-05,17792.099609375,54110.8984375,32479.150390625,7423.39990234375,16229.650390625,47012.25,20855.099609375
2023-12-06,17788.400390625,54662.55078125,33022.6015625,7425.35009765625,16169.5498046875,46834.55078125,20937.69921875
2023-12-07,17867.349609375,54173.1484375,32961.6015625,7369.85009765625,16294.2001953125,46841.3984375,20901.150390625
2023-12-08,17769.099609375,53636.3515625,33392.8984375,7362.89990234375,16163.150390625,47262.0,20969.400390625
2023-12-11,17852.30078125,53976.8984375,33514.25,7439.7001953125,16039.900390625,47314.25,20997.099609375
2023-12-12,17726.5,53837.0,33493.8984375,7462.60009765625,15963.5,47097.55078125,20906.400390625
2023-12-13,17917.900390625,54215.3515625,33066.6484375,7528.2001953125,16142.400390625,47092.25,20926.349609375
